Sum of total_gigabytes_billed, Column Labels ,,,,,
total_gigabytes_billed, db292 , db293 , db319 , other , preprocessing , Grand Total 
2/17/2025, 596 , 282 , 2 , 357 ,," 1,237 "
2/18/2025," 15,271 ", 947 ," 8,766 "," 9,178 ", 2 ," 34,163 "
2/19/2025,," 3,590 ", 846 , 891 , 1 ," 5,327 "
2/20/2025,," 6,113 "," 5,142 "," 6,255 ",," 17,511 "
2/21/2025," 1,131 "," 4,434 ",," 1,264 ", 56 ," 6,885 "
2/22/2025,,,, 24 ,, 24 
2/23/2025,," 3,717 ",, 822 ,," 4,539 "
2/24/2025," 2,609 "," 2,722 ",," 1,624 ", 1 ," 6,955 "
2/25/2025, 145 ," 4,222 "," 3,548 "," 4,706 ", 1 ," 12,622 "
Grand Total," 19,752 "," 26,027 "," 18,304 "," 25,121 ", 60 ," 89,263 "
