Log datetime=2025-02-10 11:01:32 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=4413 total = 6 seconds
Log datetime=2025-02-10 11:02:33 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=789 total = 3 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=3183 total = 2 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_292 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 292,query_id=3852 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=2899 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 319,query_id=4266 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 319,query_id=4251 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=263 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=3180 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=256 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=253 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=251 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=252 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=916 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=3326 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_319 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 319,query_id=4253 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_292 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 292,query_id=3480 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_294 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 294,query_id=3754 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=243 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=249 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=450 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=54 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=873 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=245 total = 0 seconds
Log datetime=2025-02-10 11:02:39 Data is already preprocessed apd_report_14 start_date=2020-08-10, end_date=2025-02-06, dashboard_id = 14,query_id=878 total = 0 seconds
